Name                                                                                          Version           
Microsoft Application Error Reporting                                                         12.0.6015.5000    
Office 16 Click-to-Run Extensibility Component                                                16.0.12527.20278  
Office 16 Click-to-Run Localization Component                                                 16.0.12527.20278  
Office 16 Click-to-Run Extensibility Component 64-bit Registration                            16.0.12527.20278  
Office 16 Click-to-Run Licensing Component                                                    16.0.12527.20278  
Windows Live SOXE Definitions                                                                 16.4.3528.0331    
Microsoft ASP.NET Core 3.1.1 Shared Framework (x86)                                           3.1.1.0           
Microsoft .NET Framework 4.5.1 Multi-Targeting Pack                                           4.5.50932         
Windows Live SOXE                                                                             16.4.3528.0331    
vs_communitymsi                                                                               16.4.29709        
Microsoft .NET Core AppHost Pack - 3.1.1 (x64)                                                24.68.28408       
Universal CRT Headers Libraries and Sources                                                   10.1.18362.1      
ClickOnce Bootstrapper Package for Microsoft .NET Framework                                   4.8.03928         
Microsoft .NET Core AppHost Pack - 3.1.1 (x64_arm64)                                          24.68.28408       
Paquete acumulativo de Intellisense de Microsoft .NET Framework para Visual Studio (español)  4.8.03761         
Windows SDK Redistributables                                                                  10.1.18362.1      
MSI Development Tools                                                                         10.1.18362.1      
Windows SDK Desktop Tools x86                                                                 10.1.18362.1      
Microsoft Visual C++ 2005 Redistributable - x86 8.0.50727.4053 False                          8.0.50727.4053    
Microsoft .NET Framework 4.5 Multi-Targeting Pack                                             4.5.50710         
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 False                          9.0.30729.4148    
Microsoft Windows Desktop Runtime - 3.1.1 (x64)                                               24.68.28408       
Windows SDK Desktop Tools x64                                                                 10.1.18362.1      
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660 False                              12.0.40660        
WinRT Intellisense PPI - en-us                                                                10.1.18362.1      
WinRT Intellisense UAP - Other Languages                                                      10.1.18362.1      
Microsoft .NET Core AppHost Pack - 3.1.1 (x64_x86)                                            24.68.28408       
Microsoft Windows Desktop Runtime - 3.1.1 (x86)                                               24.68.28408       
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022 False                               9.0.21022         
Microsoft .NET Core Runtime - 3.1.1 (x64)                                                     24.68.28408       
Microsoft .NET CoreRuntime For CoreCon                                                        1.0.0.0           
Microsoft Visual C++ 2010 Redistributable - x64 10.0.40219                                    10.0.40219        
Windows SDK AddOn                                                                             10.1.0.0          
Microsoft Visual C++ 2005 Redistributable - x64 8.0.61000                                     8.0.61000         
Microsoft ASP.NET Core Module V2 for IIS Express                                              13.0.19213.0      
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664                                    12.0.40664        
Windows SDK                                                                                   10.1.18362.1      
Microsoft SQL Server 2005 Compact Edition [ENU]                                               3.1.0000          
Microsoft Visual C++ 2010 Redistributable - x86 10.0.40219                                    10.0.40219        
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022.0 False                             9.0.21022         
vs_BlendMsi                                                                                   16.0.28329        
Windows SDK for Windows Store Apps Contracts                                                  10.1.18362.1      
vs_minshellmsires                                                                             16.0.28329        
Windows SDK Signing Tools                                                                     10.1.18362.1      
